sample_name,Na_ppm,Ca_ppm,condition,cell_count_per_ml,treatment,sample volume,acid volume,day,Ca_from_sw,Ca_corr_neg,Ca_corr,Ca_corr_mol,Ca_corr_uM,Ca_corr_pM,Ca_corr_pmol_ml,Ca_pmol_cell,Ca_pmol_cell_v,POC_pmol_cell,POC_pmol_ml,PIC/POC,PIC/POC
MK-CTRL-BLK-T0-A,46.808,1.78,abio,0,ctrl,200,49.94,0,1.781128356,-0.001,0,0,0,0,0,#DIV/0!,0,#DIV/0!,10667.60565,#DIV/0!,0
MK-CTRL-BLK-T0-B,9.663,0.277,abio,0,ctrl,205,50.02,0,0.367702444,-0.091,0,0,0,0,0,#DIV/0!,0,#DIV/0!,8107.380292,#DIV/0!,0
MK-CTRL-BLK-T0-C,14.655,0.503,abio,0,ctrl,205,49.99,0,0.557666646,-0.055,0,0,0,0,0,#DIV/0!,0,#DIV/0!,7583.697833,#DIV/0!,0
MK-BRU-BLK-T0-A,10.857,0.498,abio,0,bru,200,50.01,0,0.413143104,0.085,0.085,1.07E-07,0.532538775,532538.775,532.538775,#DIV/0!,0,#DIV/0!,9442.368458,#DIV/0!,0.056398856
MK-BRU-BLK-T0-B,13.429,0.584,abio,0,bru,202,49.99,0,0.511002087,0.073,0.073,9.08E-08,0.449736575,449736.5751,449.7365751,#DIV/0!,0,#DIV/0!,9174.140857,#DIV/0!,0.049022201
MK-BRU-BLK-T0-C,19.961,0.853,abio,0,bru,205,49.97,0,0.759546852,0.094,0.094,1.17E-07,0.568954614,568954.6136,568.9546136,#DIV/0!,0,#DIV/0!,7583.697833,#DIV/0!,0.075023376
MK-CTRL-T0-A,22.595,0.979,bio,2225,ctrl,200,49.91,0,0.859794078,0.119,0.119,1.48E-07,0.740134268,740134.2678,740.1342678,0.332644615,0.332644615,3.291253602,7323.039265,0.101069275,0.101069275
MK- CTRL-T0-B,11.989,0.556,bio,1700,ctrl,205,49.96,0,0.45619137,0.1,0.1,1.24E-07,0.606574261,606574.2612,606.5742612,0.356808389,0.356808389,4.871730066,8281.941112,0.073240591,0.073240591
MK-CTRL-T0-C,21.647,0.916,bio,1600,ctrl,200,49.94,0,0.82371253,0.092,0.092,1.14E-07,0.572091214,572091.2141,572.0912141,0.357557009,0.357557009,4.718818906,7550.11025,0.075772564,0.075772564
MK-BRU-T0-A,13.415,0.7,bio,2075,bru,200,49.94,0,0.510475134,0.19,0.19,2.36E-07,1.18150493,1181504.93,1181.50493,0.569399966,0.569399966,5.898146036,12238.65302,0.096538804,0.096538804
MK-BRU-T0-B,28.053,1.31,bio,1875,bru,200,49.92,0,1.067470881,0.242,0.242,3.02E-07,1.508619716,1508619.716,1508.619716,0.804597182,0.804597182,4.400131086,8250.245787,0.182857548,0.182857548
MK-BRU-T0-C,25.36,1.221,bio,1875,bru,200,49.93,0,0.965005598,0.256,0.256,3.19E-07,1.593002854,1593002.854,1593.002854,0.849601522,0.849601522,4.675643881,8766.832277,0.18170792,0.18170792
MK-CTRL-BLK-T3-A,21.677,0.912,abio,0,ctrl,200,49.95,3,0.824858403,0.087,0.087,1.09E-07,0.54250009,542500.0905,542.5000905,#DIV/0!,0,#DIV/0!,7312.15878,#DIV/0!,0.074191509
MK-CTRL-BLK-T3-B,15.281,0.656,abio,0,ctrl,200,50.02,3,0.581458979,0.074,0.074,9.25E-08,0.462355556,462355.5556,462.3555556,#DIV/0!,0,#DIV/0!,6730.289381,#DIV/0!,0.068697723
MK-CTRL-BLK-T3-C,32.278,1.343,abio,0,ctrl,200,49.95,3,1.228238128,0.115,0.115,1.43E-07,0.717214429,717214.4293,717.2144293,#DIV/0!,0,#DIV/0!,8243.149818,#DIV/0!,0.087007327
MK-BRU-BLK-T3-A,15.023,0.681,abio,0,bru,200,49.94,3,0.57163658,0.11,0.11,1.37E-07,0.683783371,683783.3706,683.7833706,#DIV/0!,0,#DIV/0!,6904.850201,#DIV/0!,0.099029429
MK-BRU-BLK-T3-B,13.25,0.643,abio,0,bru,200,49.95,3,0.504187941,0.139,0.139,1.73E-07,0.866467213,866467.2131,866.4672131,#DIV/0!,0,#DIV/0!,9232.371297,#DIV/0!,0.093850993
MK-BRU-BLK-T3-C,13.598,0.581,abio,0,bru,200,49.99,3,0.517429346,0.063,0.063,7.88E-08,0.39383792,393837.9204,393.8379204,#DIV/0!,0,#DIV/0!,6070.332925,#DIV/0!,0.06487913
MK-CTRL-T3-A,50.653,2.137,bio,2475,ctrl,200,49.95,3,1.927425299,0.209,0.209,2.61E-07,1.303565114,1303565.114,1303.565114,0.526692975,0.526692975,7.428956595,18386.66757,0.070897301,0.070897301
MK-CTRL-T3-B,8.903,0.377,bio,2600,ctrl,200,49.93,3,0.33877466,0.038,0.038,4.72E-08,0.236199342,236199.3423,236.1993423,0.090845901,0.090845901,4.519342593,11750.29074,0.020101574,0.020101574
MK-CTRL-T3-C,11.666,0.646,bio,2225,ctrl,205,50.02,3,0.44392195,0.202,0.202,2.52E-07,1.231682651,1231682.651,1231.682651,0.553565236,0.553565236,5.710880789,12706.70976,0.096931674,0.096931674
MK-BRU-T3-A,11.078,0.609,bio,2900,bru,200,49.97,3,0.421530901,0.188,0.188,2.34E-07,1.169855571,1169855.571,1169.855571,0.403398473,0.403398473,3.61154431,10473.4785,0.111696947,0.111696947
MK-BRU-T3-B,15.721,0.915,bio,2600,bru,200,50.01,3,0.598209728,0.317,0.317,3.95E-07,1.976845773,1976845.773,1976.845773,0.760325297,0.760325297,3.746099591,9739.858937,0.202964518,0.202964518
MK-BRU-T3-C,15.808,1.036,bio,2150,bru,205,49.98,3,0.601538856,0.435,0.435,5.42E-07,2.644450718,2644450.718,2644.450718,1.229977078,1.229977078,5.674056798,12199.22212,0.216772077,0.216772077
MK-CTRL-BLK-T6-A,17.593,0.751,abio,0,ctrl,200,50.11,6,0.669429542,0.082,0.082,1.02E-07,0.511298498,511298.4982,511.2984982,#DIV/0!,0,#DIV/0!,7846.539665,#DIV/0!,0.065162291
MK-CTRL-BLK-T6-B,20.052,0.819,abio,0,ctrl,200,49.96,6,0.763012347,0.056,0.056,7.00E-08,0.34983437,349834.3702,349.8343702,#DIV/0!,0,#DIV/0!,7866.05842,#DIV/0!,0.044473909
