ID,sample_name,sample_day, C_ug,C_umol, N_ug,N_umol, ratio_ug,ratio_umol,carboy_type,type,cell_count_per_ml,Sample_volume,poc_ug_L,poc_pg_L,poc_pg_ml,poc_pg_cell,poc_pmol_cell,poc_pmol_ml,pon_ug_L,pon_pg_L,pon_pg_ml,pon_pg_cell,pon_pmol_cell,pon_pmol_ml,ratio_pmol_cell,ratio_pmol_ml
1,MK-CTRL-BLK-T0-A,0,25.6,2.13352,2.2,0.15814,11.57,13.49096719,abiotic,ctrl,0,200,128.1286114,128128611.4,128128.6114,#DIV/0!,#DIV/0!,10667.60565,11.07540697,11075406.97,11075.40697,#DIV/0!,#DIV/0!,790.7220805,#DIV/0!,13.49096719
2,MK-CTRL-BLK-T0-B,0,19.5,1.62148,1.3,0.09303,14.95,17.43032961,abiotic,ctrl,0,200,97.37774469,97377744.69,97377.74469,#DIV/0!,#DIV/0!,8107.380292,6.514945274,6514945.274,6514.945274,#DIV/0!,#DIV/0!,465.1306356,#DIV/0!,17.43032961
3,MK-CTRL-BLK-T0-C,0,18.2,1.51674,2.1,0.14884,8.74,10.19027942,abiotic,ctrl,0,200,91.08779467,91087794.67,91087.79467,#DIV/0!,#DIV/0!,7583.697833,10.42391244,10423912.44,10423.91244,#DIV/0!,#DIV/0!,744.209017,#DIV/0!,10.19027942
4,MK-BRU-BLK-T0-A,0,23.2,1.93569,2,0.13954,11.9,13.87198481,abiotic,bru,0,205,113.4122875,113412287.5,113412.2875,#DIV/0!,#DIV/0!,9442.368458,9.534066254,9534066.254,9534.066254,#DIV/0!,#DIV/0!,680.6789789,#DIV/0!,13.87198481
5, MK-BRU-BLK-T0-B,0,22,1.83483,2.1,0.14884,10.57,12.32737127,abiotic,bru,0,200,110.1906058,110190605.8,110190.6058,#DIV/0!,#DIV/0!,9174.140857,10.42391244,10423912.44,10423.91244,#DIV/0!,#DIV/0!,744.209017,#DIV/0!,12.32737127
6,MK-BRU-BLK-T0-C,0,18.2,1.51674,2,0.13954,9.32,10.86963139,abiotic,bru,0,200,91.08779467,91087794.67,91087.79467,#DIV/0!,#DIV/0!,7583.697833,9.77241791,9772417.91,9772.41791,#DIV/0!,#DIV/0!,697.6959534,#DIV/0!,10.86963139
7,MK-CTRL-T0-A,0,18,1.50122,2.6,0.18605,6.92,8.068824833,biotic,ctrl,2225,205,87.95702461,87957024.61,87957.02461,39.53124701,3.291253602,7323.039265,12.71208834,12712088.34,12712.08834,5.71329813,0.407897515,907.5719719,8.068824833,8.068824833
8,MK- CTRL-T0B,0,19.9,1.65639,3,0.21396,6.64,7.741575562,biotic,ctrl,1700,200,99.47439469,99474394.69,99474.39469,58.51434982,4.871730066,8281.941112,14.98437413,14984374.13,14984.37413,8.814337723,0.629294389,1069.800462,7.741575562,7.741575562
9,MK-CTRL-T0-C,0,18.6,1.54777,2,0.13954,9.51,11.09202794,biotic,ctrl,1600,205,90.68437421,90684374.21,90684.37421,56.67773388,4.718818906,7550.11025,9.534066254,9534066.254,9534.066254,5.958791409,0.425424362,680.6789789,11.09202794,11.09202794
10,MK-BRU-T0-A,0,29.4,2.44773,2.9,0.20466,10.26,11.96013265,biotic,bru,2075,200,146.9984615,146998461.5,146998.4615,70.84263204,5.898146036,12238.65302,14.3328796,14332879.6,14332.8796,6.907411856,0.493150553,1023.287398,11.96013265,11.96013265
11,MK-BRU-T0-B,0,20.3,1.6913,2,0.13954,10.39,12.12061198,biotic,bru,1875,205,99.09370214,99093702.14,99093.70214,52.84997448,4.400131086,8250.245787,9.534066254,9534066.254,9534.066254,5.084835336,0.363028789,680.6789789,12.12061198,12.12061198
