sampling_date,label,phyto_species,dir_phyto_strain,count_cells_per_ml
12/5/24,MK_ctrl_T0_a,,,2225
12/5/24,MK_ctrl_T0_b,,,1700
12/5/24,MK_ctrl_T0_c,,,1600
12/5/24,MK_bru_T0_a,,,2075
12/5/24,MK_bru_T0_b,,,1875
12/5/24,MK_bru_T0_c,,,1875
12/8/24,MK_ctrl_T3_a,,,2475
12/8/24,MK_ctrl_T3_b,,,2600
12/8/24,MK_ctrl_T3_c,,,2225
12/8/24,MK_bru_T3_a,,,2900
12/8/24,MK_bru_T3_b,,,2600
12/8/24,MK_bru_T3_c,,,2150
12/11/24,MK_ctrl_T6_a,,,8850
12/11/24,MK_ctrl_T6_b,,,9850
12/11/24,MK_ctrl_T6_c,,,11000
12/11/24,MK_bru_T6_a,,,30525
12/11/24,MK_bru_T6_b,,,26850
12/11/24,MK_bru_T6_c,,,22875
12/13/24,MK_ctrl_T8_a,,,75650
12/13/24,MK_ctrl_T8_b,,,139425
12/13/24,MK_ctrl_T8_c,,,190350
12/13/24,MK_bru_T8_a,,,373500
12/13/24,MK_bru_T8_b,,,422000
12/13/24,MK_bru_T8_c,,,381500
