day,condition,treatment,ratio_pmol_ml,pon_pmol_cell,poc_pmol_cell
0,abiotic,ctrl,13.49096719,0,0
0,abiotic,ctrl,17.43032961,0,0
0,abiotic,ctrl,10.19027942,0,0
0,abiotic,bru,13.87198481,0,0
0,abiotic,bru,12.32737127,0,0
0,abiotic,bru,10.86963139,0,0
0,biotic,ctrl,8.068824833,0.407897515,3.291253602
0,biotic,ctrl,7.741575562,0.629294389,4.871730066
0,biotic,ctrl,11.09202794,0.425424362,4.718818906
0,biotic,bru,11.96013265,0.493150553,5.898146036
0,biotic,bru,12.12061198,0.363028789,4.400131086
0,biotic,bru,11.78006726,0.396911476,4.675643881
3,abiotic,ctrl,11.2290401,0,0
3,abiotic,ctrl,9.64645036,0,0
3,abiotic,ctrl,8.055556857,0,0
3,abiotic,bru,8.732335129,0,0
3,abiotic,bru,7.077742578,0,0
3,abiotic,bru,4.826010678,0,0
3,biotic,ctrl,7.308845753,1.016433627,7.428956595
3,biotic,ctrl,6.151829469,0.734633919,4.519342593
3,biotic,ctrl,8.265301538,0.690946454,5.710880789
3,biotic,bru,6.982973649,0.517192888,3.61154431
3,biotic,bru,6.744201002,0.555454915,3.746099591
3,biotic,bru,6.089802601,0.931730824,5.674056798
6,abiotic,ctrl,7.323014105,0,0
6,abiotic,ctrl,7.035345952,0,0
6,abiotic,ctrl,6.429151601,0,0
6,abiotic,bru,6.200880601,0,0
6,abiotic,bru,5.691123524,0,0
6,abiotic,bru,5.621293788,0,0
6,biotic,ctrl,6.02936131,0.336897021,2.031273866
6,biotic,ctrl,6.278690879,0.322996943,2.02799796
6,biotic,ctrl,6.275284625,0.285013263,1.788539347
6,biotic,bru,6.290479406,0.179354857,1.128228034
6,biotic,bru,6.302481684,0.174276433,1.098374027
6,biotic,bru,5.891686671,0.210697351,1.241362772
8,abiotic,ctrl,5.633783362,0,0
8,abiotic,ctrl,5.33565536,0,0
8,abiotic,ctrl,5.623144979,0,0
8,abiotic,bru,6.933945667,0,0
8,abiotic,bru,6.812364154,0,0
8,abiotic,bru,6.117069876,0,0
8,biotic,ctrl,6.93975578,0.179997722,1.249140233
8,biotic,ctrl,6.712189503,0.172506482,1.157896198
8,biotic,ctrl,6.922893888,0.156346149,1.082367796
8,biotic,bru,6.04103124,0.092526122,0.558953194
8,biotic,bru,6.212544629,0.103344273,0.642030908
8,biotic,bru,6.140222606,0.086349747,0.530206669
